window_a,window_b,mean_tvd,max_tvd,n_shared_pairs,coverage_ratio,passed,warnings
0,1,0.07838257930430498,0.17543859649122806,23,1.0,False,Mean TVD 0.078 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 0 and 1. Q-values learned in window 0 may be invalid in window 1 — this violates the Arslan & Yüksel stationarity requirement.
1,2,0.061480290808935315,0.2,23,0.92,False,Mean TVD 0.061 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 1 and 2. Q-values learned in window 1 may be invalid in window 2 — this violates the Arslan & Yüksel stationarity requirement.
2,3,0.05619665528132347,0.25,23,0.9583333333333334,False,Mean TVD 0.056 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 2 and 3. Q-values learned in window 2 may be invalid in window 3 — this violates the Arslan & Yüksel stationarity requirement.
3,4,0.029556413795544235,0.1333333333333333,23,1.0,True,Mean TVD 0.030 > 0.025 (WARN). Moderate kernel drift between windows 3 and 4. Monitor whether this grows over training.
4,5,0.030434782608695653,0.16666666666666669,23,0.92,True,Mean TVD 0.030 > 0.025 (WARN). Moderate kernel drift between windows 4 and 5. Monitor whether this grows over training.
5,6,0.058029860003544216,0.17142857142857143,22,0.9166666666666666,False,Mean TVD 0.058 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 5 and 6. Q-values learned in window 5 may be invalid in window 6 — this violates the Arslan & Yüksel stationarity requirement.
6,7,0.05423614113307096,0.16666666666666669,24,1.0,False,Mean TVD 0.054 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 6 and 7. Q-values learned in window 6 may be invalid in window 7 — this violates the Arslan & Yüksel stationarity requirement.
7,8,0.07174934152666947,0.26666666666666666,26,1.0,False,Mean TVD 0.072 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 7 and 8. Q-values learned in window 7 may be invalid in window 8 — this violates the Arslan & Yüksel stationarity requirement.
8,9,0.04503552703890035,0.25,26,0.9285714285714286,True,Mean TVD 0.045 > 0.025 (WARN). Moderate kernel drift between windows 8 and 9. Monitor whether this grows over training.
9,10,0.062223195869216236,0.25,25,0.9259259259259259,False,Mean TVD 0.062 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 9 and 10. Q-values learned in window 9 may be invalid in window 10 — this violates the Arslan & Yüksel stationarity requirement.
10,11,0.059485428778904954,0.19444444444444445,26,1.0,False,Mean TVD 0.059 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 10 and 11. Q-values learned in window 10 may be invalid in window 11 — this violates the Arslan & Yüksel stationarity requirement.
11,12,0.06983984736085576,0.30000000000000004,28,1.0,False,Mean TVD 0.070 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 11 and 12. Q-values learned in window 11 may be invalid in window 12 — this violates the Arslan & Yüksel stationarity requirement.
12,13,0.0755559951796511,0.2571428571428572,27,0.9,False,Mean TVD 0.076 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 12 and 13. Q-values learned in window 12 may be invalid in window 13 — this violates the Arslan & Yüksel stationarity requirement.
13,14,0.03136837442392998,0.14903846153846154,27,1.0,True,Mean TVD 0.031 > 0.025 (WARN). Moderate kernel drift between windows 13 and 14. Monitor whether this grows over training.
14,15,0.06547683520609787,0.2727272727272727,28,1.0,False,Mean TVD 0.065 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 14 and 15. Q-values learned in window 14 may be invalid in window 15 — this violates the Arslan & Yüksel stationarity requirement.
15,16,0.06950689070049973,0.24999999999999997,28,0.9333333333333333,False,Mean TVD 0.070 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 15 and 16. Q-values learned in window 15 may be invalid in window 16 — this violates the Arslan & Yüksel stationarity requirement.
16,17,0.057271981058829906,0.2222222222222222,28,1.0,False,Mean TVD 0.057 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 16 and 17. Q-values learned in window 16 may be invalid in window 17 — this violates the Arslan & Yüksel stationarity requirement.
17,18,0.04065133584364354,0.22222222222222224,26,0.9285714285714286,True,Mean TVD 0.041 > 0.025 (WARN). Moderate kernel drift between windows 17 and 18. Monitor whether this grows over training.
18,19,0.02581937293475755,0.16666666666666666,26,0.9285714285714286,True,Mean TVD 0.026 > 0.025 (WARN). Moderate kernel drift between windows 18 and 19. Monitor whether this grows over training.
19,20,0.0379101833091603,0.17777777777777776,25,0.9615384615384616,True,Mean TVD 0.038 > 0.025 (WARN). Moderate kernel drift between windows 19 and 20. Monitor whether this grows over training.
20,21,0.045240664685109136,0.17500000000000002,27,0.9642857142857143,True,Mean TVD 0.045 > 0.025 (WARN). Moderate kernel drift between windows 20 and 21. Monitor whether this grows over training.
21,22,0.04718646737877508,0.17045454545454547,26,0.896551724137931,True,Mean TVD 0.047 > 0.025 (WARN). Moderate kernel drift between windows 21 and 22. Monitor whether this grows over training.
